route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
3,2025_08_11-DX-MVS-Weekday-003,1771675,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771863,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771676,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771864,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771677,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771865,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771678,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771866,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771679,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771867,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771680,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771868,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771681,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771869,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771682,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771870,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771683,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771871,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771684,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771872,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771685,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771873,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771686,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771874,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771687,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771875,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771688,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771876,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771689,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771877,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771690,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771878,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771691,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771879,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771692,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771880,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771693,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771881,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771694,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771882,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771695,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771883,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771696,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771884,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
